symbol
RELIANCE
TCS
HDFCBANK
INFY
ICICIBANK
SBIN
ITC
LT
BHARTIARTL
AXISBANK
WIPRO
ADANIENT
TATAMOTORS
BAJFINANCE
MARUTI
